reclat,reclon,
 -78.82448,42.95084,
 -78.82447,42.95083,
 -78.82445,42.95082,
 -78.82443,42.95081,
 -78.82443,42.95079,
 -78.82444,42.95080,
 -78.82448,42.95081,
 -78.82449,42.95081,
 -78.82451,42.95082,
 -78.82452,42.95083,
 -78.82451,42.95084,
 -78.82450,42.95085,
 -78.82449,42.95085,
 -78.82447,42.95084,
 -78.82446,42.95083,
 -78.82444,42.95083,
 -78.82444,42.95082,
 -78.82445,42.95081,
 -78.82447,42.95081,
 -78.82447,42.95081,
 -78.82449,42.95082,
 -78.82451,42.95083,
 -78.82452,42.95084,
 -78.82454,42.95085,
 -78.82455,42.95086,
 -78.82457,42.95086,
 -78.82458,42.95087,
 -78.82458,42.95088,
 -78.82460,42.95088,
 -78.82462,42.95089,
 -78.82463,42.95089,
 -78.82465,42.95092,
 -78.82462,42.95093,
 -78.82459,42.95092,
 -78.82458,42.95091,
 -78.82459,42.95089,
 -78.82460,42.95089,
 -78.82461,42.95089,
 -78.82462,42.95089,
 -78.82463,42.95090,
 -78.82464,42.95091,
 -78.82464,42.95092,
 -78.82461,42.95093,
 -78.82460,42.95092,
 -78.82459,42.95090,
 -78.82460,42.95090,
 -78.82461,42.95089,
 -78.82461,42.95090,
 -78.82463,42.95090,
 -78.82463,42.95090,
 -78.82463,42.95091,
 -78.82463,42.95092,
 -78.82462,42.95092,
 -78.82461,42.95091,
 -78.82460,42.95090,
 -78.82460,42.95090,
 -78.82461,42.95090,
 -78.82462,42.95090,
 -78.82462,42.95090,
 -78.82463,42.95091,
 -78.82464,42.95091,
 -78.82466,42.95092,
 -78.82467,42.95092,
 -78.82469,42.95092,
 -78.82470,42.95093,
 -78.82471,42.95093,
 -78.82473,42.95094,
 -78.82473,42.95094,
 -78.82474,42.95095,
 -78.82475,42.95096,
 -78.82472,42.95096,
 -78.82471,42.95096,
 -78.82470,42.95096,
 -78.82469,42.95095,
 -78.82468,42.95095,
 -78.82467,42.95094,
 -78.82467,42.95093,
 -78.82467,42.95092,
 -78.82469,42.95093,
 -78.82470,42.95093,
 -78.82471,42.95094,
 -78.82472,42.95095,
 -78.82473,42.95095,
 -78.82475,42.95096,
 -78.82476,42.95097,
 -78.82476,42.95098,
 -78.82478,42.95098,
 -78.82477,42.95098,
 -78.82477,42.95099,
 -78.82478,42.95099,
 -78.82479,42.95099,
 -78.82479,42.95099,
 -78.82480,42.95100,
 -78.82481,42.95100,
 -78.82480,42.95101,
 -78.82479,42.95101,
 -78.82478,42.95101,
 -78.82477,42.95100,
 -78.82477,42.95099,
 -78.82478,42.95099,
 -78.82478,42.95099,
 -78.82479,42.95099,
 -78.82480,42.95100,
 -78.82481,42.95100,
 -78.82481,42.95101,
 -78.82482,42.95102,
 -78.82482,42.95102,
 -78.82482,42.95102,
 -78.82483,42.95102,
 -78.82483,42.95102,
 -78.82484,42.95103,
 -78.82484,42.95103,
 -78.82485,42.95104,
 -78.82486,42.95103,
 -78.82487,42.95104,
 -78.82488,42.95104,
 -78.82489,42.95104,
 -78.82490,42.95104,
 -78.82491,42.95105,
 -78.82492,42.95105,
 -78.82493,42.95107,
 -78.82492,42.95109,
 -78.82490,42.95108,
 -78.82487,42.95105,
 -78.82488,42.95105,
 -78.82489,42.95105,
 -78.82490,42.95105,
 -78.82491,42.95105,
 -78.82491,42.95106,
 -78.82492,42.95106,
 -78.82493,42.95106,
 -78.82491,42.95108,
 -78.82489,42.95107,
 -78.82488,42.95107,
 -78.82486,42.95106,
 -78.82487,42.95105,
 -78.82489,42.95105,
 -78.82490,42.95105,
 -78.82491,42.95105,
 -78.82491,42.95106,
 -78.82491,42.95106,
 -78.82492,42.95107,
 -78.82490,42.95108,
 -78.82490,42.95108,
 -78.82489,42.95107,
 -78.82488,42.95107,
 -78.82487,42.95107,
 -78.82487,42.95106,
 -78.82488,42.95105,
 -78.82489,42.95106,
 -78.82490,42.95106,
 -78.82490,42.95106,
 -78.82491,42.95107,
 -78.82491,42.95107,
 -78.82493,42.95108,
 -78.82493,42.95108,
 -78.82494,42.95109,
 -78.82495,42.95109,
 -78.82496,42.95110,
 -78.82497,42.95110,
 -78.82498,42.95111,
 -78.82499,42.95111,
 -78.82499,42.95112,
 -78.82499,42.95113,
 -78.82498,42.95113,
 -78.82496,42.95112,
 -78.82495,42.95111,
 -78.82496,42.95110,
 -78.82497,42.95111,
 -78.82498,42.95111,
 -78.82499,42.95112,
 -78.82502,42.95113,
 -78.82504,42.95114,
 -78.82505,42.95116,
 -78.82507,42.95117,
 -78.82509,42.95118,
 -78.82511,42.95120,
 -78.82513,42.95120,
 -78.82513,42.95121,
 -78.82516,42.95122,
 -78.82517,42.95123,
 -78.82519,42.95124,
 -78.82520,42.95125,
 -78.82523,42.95126,
 -78.82523,42.95127,
 -78.82525,42.95128,
 -78.82527,42.95129,
 -78.82529,42.95130,
 -78.82530,42.95130,
 -78.82532,42.95131,
 -78.82533,42.95132,
 -78.82534,42.95133,
 -78.82535,42.95133,
 -78.82536,42.95134,
 -78.82538,42.95135,
 -78.82540,42.95135,
 -78.82541,42.95136,
 -78.82542,42.95137,
 -78.82543,42.95137,
 -78.82544,42.95138,
 -78.82545,42.95138,
 -78.82546,42.95139,
 -78.82547,42.95139,
 -78.82549,42.95140,
 -78.82551,42.95141,
 -78.82553,42.95141,
 -78.82554,42.95142,
 -78.82556,42.95143,
 -78.82557,42.95143,
